10000,36,344.95,10,23.55,1,49.2,14,3,4.959,697,3.5371
32500,36,1105.6,10,7.88,7,39.9,24,12,5.0792,777,4.3377
15000,36,481.69,6,19.45,10,33.6,27,2,4.7634,752,4.0127
23075,36,928.36,1,0.44,4,0.3,21,0,4.8325,697,1.8451
26400,60,862.1,2,17.32,13,57,19,0,4.7782,697,4.0569
12375,36,438.69,3,22.09,18,60,34,0,4.5611,662,3.6069
35000,36,1269.7,10,6.69,7,33.8,27,1,5.1761,692,3.9558
6000,36,226.06,10,21.79,9,93.1,19,5,4.6484,662,3.8775
11000,36,369.84,5,15.33,11,74.8,18,0,4.9294,732,4.1963
16025,36,615.24,8,18.62,4,51.5,22,0,4.9586,692,2.8887
7800,36,284.15,0,17.97,6,82,7,1,4.6233,672,4.0738
20000,36,654.68,10,11.13,9,19.4,32,5,4.9868,677,3.4559
17000,60,399.9,3,13.56,11,11.9,14,0,4.8513,702,2.9859
5950,36,231.66,4,33.6,16,9.1,30,2,4.4914,712,3.3375
35000,36,1262.9,2,15.39,17,2.5,46,2,5.2553,707,4.683
9300,36,343.36,7,11.93,11,35.7,30,0,4.5315,707,4.1103
5325,36,194.77,10,22.75,13,5,30,0,4.699,762,3.437
31200,36,1125.8,10,5.98,8,11.8,13,0,4.8921,717,3.1294
3950,36,141.96,3,36.97,6,49.7,10,0,4.3222,687,4.7651
10850,60,287.4,0,15.9,10,23.8,17,1,4.6021,732,3.7408
12000,36,421.83,2,8.4,6,20.3,27,0,4.7404,732,3.7781
18325,36,664.8,3,4.49,7,33.8,19,1,4.7324,672,3.8773
9000,36,348.35,6,20.85,6,88.7,6,0,4.8573,677,4.1859
10000,36,339.5,8,15.21,9,41.3,17,0,4.6902,662,3.7717
30000,36,984.16,0,6.11,12,44.6,34,3,4.9445,742,4.4826
20000,36,623.88,4,6.05,7,20,22,4,5.1761,797,4.4552
6850,36,250.23,10,6.88,5,91.5,8,0,5.243,687,4.2796
18000,36,666.38,2,1.5,5,20.1,13,1,4.8751,702,3.4089
11775,60,345.55,1,29.44,16,78.5,22,0,4.7924,677,3.6875
14400,60,375.06,10,5.01,11,47.8,26,2,5.0899,667,4.2029
31300,36,1115.8,9,10.94,25,10.1,51,4,5.3979,692,3.6936
17000,60,459.82,4,22.83,11,64.1,25,0,4.7143,672,4.119
21525,36,728.9,10,20.65,11,68.3,31,2,4.7782,682,3.9956
35000,60,927.1,3,6.64,11,23.7,23,3,5.1523,687,3.7259
23325,36,838.24,0,13.96,19,51.9,38,7,5.273,727,4.3422
35000,60,966.27,8,19.75,9,76,18,3,5.0212,697,4.3446
15000,36,493.86,10,25.68,34,52.3,56,2,5.0969,682,4.6077
9775,36,332.48,10,26.64,15,51.8,38,5,4.9294,732,4.5308
23350,36,832.38,0,0.28,10,4.2,17,2,5.0934,712,2.8122
10000,60,264.78,8,10.51,14,38.2,19,0,4.8451,677,4.1345
28000,36,943.3,4,6.51,9,28.2,25,0,5.5011,712,4.1235
4000,36,135.46,0,9.28,9,48.2,11,0,4.7782,702,3.6323
20000,36,680.36,4,10.34,7,26.8,18,0,4.8129,692,3.8212
20000,36,689.89,0,4.37,3,35.3,10,0,4.7782,747,3.7239
18000,60,452.89,10,16.87,11,40.2,25,1,4.7404,662,3.4732
6875,36,240.39,3,2.69,2,58,3,0,4.6233,712,3.5523
8000,36,321.48,4,26.4,8,69.4,11,1,4.398,677,4.1992
20000,36,735.05,5,27.97,16,42.9,20,0,4.6532,697,3.9155
16800,60,498.74,10,12.72,8,59,9,2,5.0792,677,3.8086
29450,60,878.79,5,9.38,15,75,23,1,5.1761,662,4.0568
9900,36,383.18,0,13.63,4,7.3,10,1,4.4914,747,1.3617
25000,60,641.52,8,22.54,8,50.7,29,0,5.1357,692,4.0334
10200,36,356.65,2,18.45,13,9,16,0,4.6021,702,3.2408
4200,36,151.55,10,14.17,18,23.4,30,0,4.658,667,4.0012
10775,36,384.11,6,13.62,9,31.1,19,0,5.0492,672,3.5303
18000,36,659.72,0,23.43,12,49.1,19,1,5.243,682,4.2589
21600,60,546.86,6,16.53,20,39,40,8,5.0969,727,4.2539
15000,36,527.29,3,26.74,11,72.6,33,0,4.699,672,4.3846
35000,36,1239,7,13.88,6,73.3,14,0,4.9975,702,4.4739
15000,36,529.51,7,9.65,6,23.9,22,4,4.699,672,3.2596
8900,36,297.7,9,4.92,6,44.8,11,0,5.3522,697,3.6884
6225,36,255.78,3,16.06,15,28.2,44,0,4.6233,662,3.0531
16000,60,411.1,10,12.93,13,24.9,26,1,4.9294,722,4.091
6000,36,199.26,10,7.32,6,58.8,23,1,5,662,3.51
35000,60,1008.5,3,4.88,10,0.1,20,1,5.382,807,1.9638
10000,36,338.63,5,3.54,9,39.3,15,4,4.9395,662,3.5138
8000,36,263.7,2,37.23,16,79,23,0,4.6335,662,3.9978
10000,36,349.55,3,20.76,8,55.4,15,0,4.699,687,3.9475
12000,36,435.34,1,12.37,13,67.8,43,4,5.1861,692,4.4102
10000,36,334.49,10,17.61,6,77.1,11,1,4.9731,662,4.125
14000,36,479.1,8,27.5,17,70.7,45,0,5.0414,697,4.2745
11375,36,435.3,3,35.12,14,21.2,17,0,4.699,707,3.7444
3925,36,149.88,7,17.98,5,17.4,13,0,4.8451,787,2.7033
5500,36,197.66,10,8.95,11,4.7,25,0,4.9542,662,3.464
35000,60,917.97,2,17.05,7,48.9,27,7,5.0414,732,4.3834
5250,60,152.56,5,10.49,5,71,20,0,4.7709,677,3.232
33375,36,1173.2,6,7.27,18,3,32,0,5.2305,787,3.0082
5400,36,188.81,10,26.76,5,60.5,7,0,4.6021,672,3.3617
2700,36,99.04,2,22.13,14,38.6,18,1,4.6532,687,4.203
35000,36,1278.5,3,5.04,11,74.5,15,2,5.1761,697,4.2359
16000,60,464.95,2,28.77,14,86.6,28,7,5.0969,687,5.2448
10850,36,350.05,10,13.54,8,60,12,2,5.0212,692,3.6557
24000,36,886.19,0,20.7,12,19.3,15,0,4.8444,747,3.6992
25000,36,830.24,0,28.78,16,74.9,35,2,4.8751,747,4.3889
28000,36,939.26,0,24.83,15,81.9,30,2,5.1461,697,4.5761
5000,36,173.31,3,18.93,8,38.3,8,0,4.5892,682,4.1566
10000,60,298.11,3,20.71,11,28.6,23,2,4.9731,667,3.4012
5225,36,203.44,2,28.56,16,66.9,27,3,4.8451,672,4.1043
2800,36,109.02,0,7.35,6,54.8,11,0,4.6158,662,3.6738
5550,36,219.21,2,17.11,12,38.8,14,0,4.3118,677,3.7623
3100,36,108.4,3,32.48,17,28.6,37,3,4.9031,727,4.1505
6000,36,186.97,0,26.81,18,11.4,31,0,4.7404,727,3.8448
12000,36,425.39,10,23.33,11,23.6,22,1,4.716,677,3.5774
7475,36,273.97,0,11.28,11,26.1,15,0,4.398,677,3.7384
24000,60,590.68,2,21.33,15,79.2,32,4,5.0682,677,4.5718
25000,60,621.18,10,21.68,12,41.7,27,0,4.9345,667,4.0989
10725,36,389.09,4,23.93,17,29.9,20,0,4.8129,692,3.9877
22000,36,779.45,7,28.06,14,57.8,29,0,4.8129,677,4.3505
20000,36,680.36,6,19.36,11,39.2,60,5,5.0682,712,3.9792
16000,36,594.54,4,24.78,7,59.8,15,1,4.8573,742,3.81
20350,60,561.82,1,13.69,8,85.6,13,0,4.9542,677,4.0331
16000,36,544.21,4,3.13,9,81.8,17,1,4.9991,662,4.0714
3000,36,106.29,10,13.09,17,66.2,22,0,4.7324,662,4.1264
20000,36,683.36,10,9.55,6,52.7,26,4,5,712,3.9313
20000,60,461.85,10,6.81,12,81.1,41,5,5.0648,672,4.1596
16750,36,614.42,0,0.27,5,3.1,6,0,5.3979,752,2.5647
8000,36,281.22,3,4.51,9,23.8,11,1,4.8751,702,3.9276
25000,36,860.41,10,11.97,14,53.7,25,1,4.9031,712,4.381
7150,36,273.03,6,9.72,12,52.1,14,0,4.9031,672,3.8243
4400,36,143.51,10,7.61,4,49.4,6,0,4.6128,702,3.317
15225,36,537.45,2,12.37,24,38,63,0,4.6532,722,3.203
8000,36,307.19,7,28.24,18,66.8,34,5,4.8976,717,4.6991
20000,36,677.26,1,22.93,4,80.2,16,5,4.7993,667,4.2326
15000,36,557.38,10,13.02,8,34.2,13,0,4.6128,677,3.8265
19200,36,758.33,10,10,10,6.5,28,5,4.7782,727,3.1872
19900,60,459.65,10,11.01,9,39.9,10,1,4.9031,737,3.7377
10000,36,365.3,6,3.52,11,28.2,13,0,4.7404,677,3.5221
24000,36,976.85,3,13.64,10,55.2,21,1,4.9031,677,4.0762
5600,36,181.99,8,9.92,13,21.9,30,2,4.7782,722,3.6446
20000,36,661.14,10,9.44,5,81,42,5,5.0934,672,4.5194
3500,36,119.59,2,29.57,7,26.9,11,0,4.6128,787,3.7759
5000,36,185.8,4,32.53,11,79.7,22,1,5.017,697,4.2741
13000,60,305.74,2,16.45,9,45,15,0,4.7782,707,3.9565
6650,36,241.22,4,2.63,10,22,12,0,4.9542,677,3.3377
25000,60,746,10,6.95,9,75.2,9,0,4.8325,687,3.6957
10000,36,342.56,5,25.14,20,54.6,36,3,4.9031,662,4.0205
7125,36,257.09,10,8.64,6,27.9,11,0,4.3011,717,3.6132
20400,36,758.04,3,4.4,4,89,6,0,4.7076,692,3.5748
21000,60,556.26,10,16.24,11,53.3,22,2,4.9445,722,4.0164
7925,36,288.7,3,24.42,13,74,46,7,5.1461,707,4.2213
35000,60,907.73,10,15.59,10,49.5,21,7,5,717,4.3392
10000,36,387.05,10,12.15,8,20.5,34,4,4.8129,667,3.6973
10000,60,264.89,1,21.16,15,31,32,0,4.4771,677,3.57
8000,36,286.3,9,30.32,20,77.3,48,7,5.2788,697,4.6476
8350,36,298.29,8,14.69,6,20,10,1,4.9531,687,2.749
25000,60,637.56,8,30.58,19,48.4,28,0,4.8129,727,4.4115
21000,60,547.3,10,8.75,12,48.5,19,0,5.0569,692,4.0206
21600,36,745.08,2,2.6,7,56.7,19,3,4.9912,702,3.6933
18150,36,661.1,3,14.09,6,42.7,8,0,4.7034,732,3.8069
8000,36,314.2,7,9.7,7,32.4,18,2,4.8976,687,3.8437
8725,36,344.61,3,27.3,12,54.5,22,1,4.9031,682,3.7053
10000,36,329.62,4,23.06,17,44.6,22,1,4.9294,707,3.9233
11375,36,391.49,7,22.88,6,63.5,11,0,4.4771,682,4.2247
6075,36,239.94,0,5.65,5,10.7,6,0,4.2305,707,3.0959
16000,36,570.37,3,18.23,22,41.1,28,0,4.8196,667,4.0258
28000,60,726.19,7,11.46,8,46.9,20,0,5,697,4.3585
28000,60,836.52,6,10.1,7,56.5,17,3,5.1761,677,4.049
13675,36,496.04,2,12.86,6,60,17,0,4.7782,677,3.7073
5000,36,160.87,8,11.76,14,66.2,28,2,4.8751,692,3.5451
18625,60,472.86,10,16.56,6,61.7,10,0,4.8692,662,4.0978
9500,36,341.41,10,0.61,8,9.3,10,0,5.1761,797,3.586
18550,36,669.33,2,5.87,4,29.6,6,0,4.8751,682,3.2707
10000,36,342.22,4,14.76,7,55.4,16,0,4.7782,677,3.6779
5500,36,187.1,3,21.94,8,74.1,32,0,4.8129,667,4.309
35000,60,975.64,2,2.9,10,0.1,30,2,4.9731,777,1.5185
40000,36,1392.7,5,13.36,11,64.1,32,3,5.1461,722,4.5633
35000,36,1204.1,9,20.31,24,30.2,47,3,4.9542,702,4.3815
23850,60,687.23,10,3.46,4,6.2,19,0,4.9676,707,2.882
2500,36,93.17,1,20.03,7,83,16,3,4.6532,677,4.1814
14400,36,457.85,6,9,15,55.3,29,1,5.2788,667,4.3275
35000,60,880.61,4,9.97,13,32.9,35,0,5.0334,762,3.5467
10000,60,288.15,0,8.19,19,70.1,29,0,4.6021,677,3.749
11175,60,334.99,4,6.45,9,24.9,9,0,4.5441,677,3.9478
29450,36,1068.2,4,7.51,8,2.6,11,0,4.9138,762,2.959
35000,36,1265.2,4,0.97,10,2.3,15,0,5.301,772,3.1261
8400,36,296.32,10,32.52,6,56,28,0,4.5052,677,3.7459
12175,36,446.23,2,28.32,16,84,29,0,4.6532,667,4.2309
26000,60,776.76,6,7.32,11,49.2,23,0,5.1644,662,4.0558
15000,36,519.91,10,26.43,18,43.6,32,0,4.6813,697,4.4302
10000,36,369.2,1,33.28,11,71.8,19,0,4.7782,672,4.1823
23325,60,695.61,4,11.02,10,11.5,13,1,4.8129,747,5.102
24175,60,620.35,10,17.54,11,17.3,20,0,4.8274,707,3.5604
6000,36,200.12,10,20.94,14,30.1,36,3,4.7924,762,4.1913
20000,36,686.57,10,9.67,10,72.9,15,0,5.3979,717,4.632
22125,36,724.24,4,7.21,8,10.3,38,3,4.7243,782,3.5165
19475,36,769.19,4,8.51,6,16,6,0,4.8129,687,3.784
17475,60,520.94,8,28.15,11,31.6,28,4,4.7404,727,3.7714
10000,36,349.65,6,22.21,10,91,23,3,4.8976,697,4.0762
18000,36,602.08,10,27.77,16,14.2,40,0,4.6532,702,3.5781
3025,36,112.41,10,12.5,5,17.1,10,0,4.6405,662,2.94
19500,36,681.82,3,8,13,56.2,35,4,5,697,4.3808
10400,36,346.03,4,30.87,5,82.7,5,0,4.6021,707,4.3489
8000,36,266.83,10,18.73,11,83.6,19,1,4.5855,707,3.8256
20000,36,773.16,8,21.86,11,61,14,0,4.716,662,3.9912
12500,36,398.49,0,14.5,15,12.7,23,1,4.8451,802,3.7358
30000,36,1192.6,0,18.93,9,68,31,0,4.8751,672,3.9599
7475,36,268.63,2,15.46,23,79.4,29,0,4.6233,677,3.7326
3500,36,120.73,10,29.64,22,9.5,31,2,4.9494,707,3.4776
19750,60,573.92,2,2.53,7,16.2,13,1,4.7404,697,3.4939
10900,36,380.05,9,29,19,53.3,37,0,4.699,677,4.2137
19875,60,493.84,8,10.02,10,46.9,29,3,4.9031,667,3.7577
1300,36,50.26,6,7.02,2,69.6,9,0,4.6021,692,4.0188
5025,36,181.32,10,9.65,10,69.2,27,0,4.8751,662,3.6913
10000,36,321.13,10,8.67,11,79.2,24,4,5.3979,662,4.1866
18000,60,421.92,3,16.24,9,13.8,24,8,5,812,3.9083
23500,60,536.03,0,10.6,3,57.5,6,1,4.7782,787,4.3475
12000,60,301.93,7,23.79,8,74.9,25,0,4.7924,692,3.9571
11800,36,429.51,3,15.32,17,59.5,34,2,4.5911,672,4.31
30000,36,1008.7,5,13.44,16,21.8,29,0,5.2672,777,4.1966
4175,36,155.1,7,20.19,11,46.9,21,0,5.0086,667,3.3619
7500,36,249.29,10,17.49,7,28.7,31,1,4.5185,692,3.5113
11200,60,334.01,4,7.44,10,36.7,13,0,4.8751,687,3.3328
35000,60,937.06,1,26.67,21,36.3,40,0,5.0212,722,4.2991
20000,36,664.77,1,17.71,13,43.3,30,2,4.8751,697,4.2379
1500,36,59.25,8,12.76,8,79.7,9,0,4.4771,672,3.9186
28150,60,842.66,10,18.85,8,70.5,21,1,4.9445,677,3.7347
20050,36,714.74,3,6.91,10,51.7,14,0,4.7993,662,4.4122
20000,36,693.21,9,17.27,10,44.6,44,8,4.9031,662,3.9347
6000,36,226.02,1,0.02,6,3,20,2,5.143,672,1.7924
12325,36,417.36,4,6.91,6,3.1,12,0,4.8921,807,2.5899
9175,36,335.95,10,1.33,5,62.4,11,0,5.5441,662,4.1744
30000,36,996.29,5,19.79,22,27.8,40,7,5.1139,737,4.2002
2875,36,113.56,3,19.98,9,62.6,23,0,4.7782,667,2.7007
24000,60,537.4,10,22.16,20,76.7,33,3,5.6021,712,4.744
24000,36,812.71,2,15.46,11,0,23,0,4.7782,767,0
18000,36,595.03,10,9.06,14,19.1,22,1,4.9294,772,4.0369
28625,60,782.32,8,6.4,17,24.6,33,6,4.8621,692,3.8089
32000,60,839.29,6,13.61,9,37.3,23,3,5,712,4.3538
25500,60,801.52,6,22.7,12,24.8,30,0,4.8751,677,3.6819
30225,60,901.38,10,5.72,11,29.5,29,8,4.9542,712,3.9917
7000,36,268.61,2,30.27,16,64.8,17,0,4.6532,667,3.9639
18000,36,715.59,1,18.93,5,68.5,10,0,4.5563,667,3.6993
18700,36,751.45,4,8.42,12,48.7,20,0,4.7404,672,4.8968
9000,36,309.75,10,26.37,8,28.1,12,0,4.4116,662,4.2156
18000,36,653.01,2,11.69,10,82.3,20,4,4.9823,667,4.4972
14800,36,524.65,4,11.93,14,23,40,1,4.9031,697,3.4141
5000,36,170.09,3,22.12,7,29.5,10,0,4.7482,707,3.9043
2500,36,96.06,10,29.89,26,83.3,56,4,5.017,677,4.3814
15600,36,616.06,1,8.12,8,23.6,14,0,4.716,677,3.8303
25000,60,763.24,5,26.6,13,28.6,19,0,4.699,777,4.238
28000,36,900.2,10,14.6,14,2.7,22,2,4.9294,767,3.0719
10500,36,402.09,3,11.16,3,94.8,8,0,4.9031,672,2.9315
16000,60,327.42,10,11.04,12,37.5,24,0,5,722,3.9618
35000,36,1235.5,7,10.97,4,49.8,12,2,5.0043,762,4.2416
10000,36,346.61,10,20.96,14,24.8,32,6,4.7924,667,3.8701
4000,36,154.82,4,11.22,6,3.4,16,2,4.7782,697,2.5416
15000,60,352.85,6,14.81,9,37.5,33,1,4.8325,792,3.5477
10000,36,337.81,10,24.47,7,27.2,22,0,4.6532,692,4.8264
15000,36,505.34,3,8.35,8,58.6,14,0,4.8196,712,4.2148
10750,36,369.98,10,23.92,5,80.2,6,0,4.4771,717,4.3805
19300,36,767.27,6,12.48,7,64.8,15,4,4.8096,682,3.5522
16800,60,369.73,10,9.49,10,82.6,22,2,5.2856,687,4.7371
24000,60,635.72,9,27.62,13,45.1,31,1,4.8451,727,4.1327
25000,36,854.32,10,20.53,22,39.3,46,4,5.2041,732,5.0993
28475,60,869.33,3,14.68,13,21.6,18,2,4.9638,727,3.7727
35000,60,1017.1,10,21.61,10,7.2,68,5,5.0792,767,2.9689
7000,36,235.16,10,32.92,16,48.4,19,0,4.4771,687,4.1749
35000,36,1103.1,7,8.16,8,9.7,16,4,5.2553,812,3.3858
15000,60,407.33,0,18.98,11,83.7,20,4,4.8751,672,4.58
8000,36,279.72,5,18.47,14,37.1,17,0,4.7959,662,3.7398
30000,60,778.06,6,8.55,5,81.3,29,8,5.0253,717,3.626
4000,36,155.05,2,17.86,11,91.2,26,4,4.699,692,4.5576
30000,60,794.65,1,24.8,14,19.3,45,1,4.9253,762,3.6792
31975,36,1092.5,7,13.58,5,3.1,7,0,4.9031,757,1.9868
8000,36,272.15,9,14.3,10,56,15,0,4.9912,697,4.1061
15000,60,393.42,10,20.66,15,87.1,33,5,4.9243,672,4.5379
20000,36,664.2,7,5.68,7,70.8,10,0,5.2553,722,4.508
35000,36,1207.3,10,24.85,7,41.9,15,2,4.8751,712,4.3791
25000,60,648.38,3,14.18,8,61.7,14,3,4.8573,712,4.4199
7800,36,299.71,6,18.75,12,87,23,3,4.7634,662,4.3375
6000,36,209.79,4,35.06,14,52.2,27,2,4.5798,662,4.1356
5600,36,192.3,10,13.6,9,32.6,13,0,4.4771,677,4.067
20000,36,654.68,10,14.44,11,31.6,28,7,4.8451,762,4.2776
10000,36,332.39,10,13.64,14,32.3,30,1,4.9294,667,3.9731
30600,36,1168.5,0,3.97,13,37.3,30,4,4.8751,717,4.006
10000,36,366.51,2,26.16,12,59,18,0,4.7724,667,3.9042
8000,60,232.48,6,20.05,14,53.3,29,2,4.7634,682,3.967
15850,60,472.97,1,10.92,21,26.2,35,1,4.9138,672,3.9608
9300,36,285.55,10,7.35,11,8.1,38,8,4.7108,797,3.1923
19075,60,546.87,2,14.8,12,28.3,22,4,4.6813,702,4.031
20700,36,737.91,7,13.15,5,73.6,14,0,4.6532,717,3.8357
20000,36,699.3,6,14.14,9,9.4,23,1,5.3979,712,3.0286
15000,36,502.46,0,17.3,10,45.5,22,4,5.0792,702,4.1144
8000,36,269.52,5,7.71,11,48.1,14,0,4.7782,682,4.0417
24000,36,841.41,7,7.65,6,49.3,22,3,4.9294,702,4.0997
10000,36,349.65,0,9.55,5,70.1,6,0,4.8129,667,3.323
7000,36,216.05,10,28.28,11,34.3,31,1,4.8808,702,3.7553
10000,36,381.81,5,4.73,4,82.1,6,0,4.5563,667,3.5577
28900,60,863.4,3,25,8,40.4,37,2,4.9294,667,3.914
7000,36,239.21,2,18.19,8,61,25,2,4.7559,672,3.9286
20000,36,735.05,6,26.82,11,24.8,38,2,4.9777,672,3.1804
9000,36,356.61,1,21.32,5,93.4,10,0,4.7482,702,4.2257
33950,36,1333.4,10,8.75,14,32.7,23,0,5.1303,737,4.318
20000,36,699.3,1,26.51,8,56,14,0,4.7559,732,3.8789
16450,36,607.33,3,10.29,7,84.3,14,0,4.6233,662,4.1046
10000,60,314.33,4,18.62,8,43.4,26,0,4.6647,692,3.3371
5000,36,172.48,8,32.06,14,36.7,20,1,4.7709,697,4.0562
4525,36,176.18,9,17.7,8,43.3,30,6,4.8129,672,3.8404
11325,36,392.48,5,24.12,8,35.4,35,13,4.8633,677,3.3128
4425,36,154.29,0,14.76,6,0.9,9,2,4.6021,792,1.9294
21075,36,846.89,5,28.23,16,31.3,24,0,5.0682,677,3.8222
9250,36,370.58,3,24.93,9,11.1,14,0,4.4914,677,2.6803
2975,36,117.51,10,14.21,7,77,13,2,4.7634,672,3.4307
35000,36,1282.8,3,8.4,6,22.3,9,0,5.0607,752,4.0684
14400,60,397.47,4,13.49,8,74.1,15,1,4.8751,692,3.8994
10000,36,371.59,10,14,12,68.4,17,0,5.2553,672,3.8439
11875,60,355.97,8,29.36,7,44.7,11,0,4.5441,687,3.8295
20675,60,592.74,5,13.29,8,88.3,9,0,4.9031,677,3.9756
6500,36,233.6,2,5.93,10,98.3,20,0,5.0792,692,4.3391
14000,60,386.59,4,28.9,15,64.3,33,0,4.9479,667,4.1996
17100,36,597.9,10,11.33,5,50.8,13,3,4.6793,672,4.0899
19800,36,851.32,10,23.52,6,65.4,15,0,4.6532,687,3.755
10000,36,365.3,3,11.96,3,67.5,6,0,4.7634,712,4.0547
10000,36,304.36,10,28.42,14,26,38,0,4.7243,792,5.1131
8000,36,278.54,0,13.55,10,41,14,0,4.7782,667,4.0282
35000,60,927.1,0,32.38,24,33.7,55,0,4.9638,722,4.869
35000,36,1300.5,2,10.75,7,36,23,0,4.8976,687,3.9471
5000,36,183.08,0,16.17,21,12,37,1,4.6021,692,3.1146
30000,36,1084.4,8,7.67,13,28.8,23,0,5,717,4.1899
10200,60,278.77,3,13.36,4,57.1,4,0,4.7782,672,3.4099
21725,36,739.14,0,18.84,8,13.1,12,1,4.8196,797,3.1844
9700,36,348.59,10,10.63,5,86,11,0,4.9645,672,3.466
7475,36,284.2,1,19.48,7,33.7,12,0,4.5911,667,3.628
8325,36,274.73,1,17.55,11,14.6,21,3,4.7683,787,3.7019
25000,60,733.64,2,15.94,6,88,16,2,4.885,682,3.9223
11200,60,313.81,10,3.7,4,8.8,17,7,4.7689,662,2.179
9000,36,298.89,10,21.51,8,64.7,28,4,4.8808,717,4.1981
15000,36,501.74,0,2.43,6,42.9,27,2,4.6813,662,3.6974
5000,36,174.83,5,28.4,14,56,30,0,4.4771,687,4.1301
10000,36,329.72,5,6.6,16,45,26,3,4.842,687,4.2199
10800,36,388.13,7,9.06,13,36.8,20,0,5.1796,707,4.1446
24000,60,662.72,3,21.86,10,72.6,21,0,4.7559,692,4.3217
12875,60,370.32,2,20.63,14,37.7,34,5,5.1173,697,3.4275
18000,60,447.25,2,36.53,9,68.5,21,0,4.6813,732,3.9004
32000,60,839.46,3,5.78,17,37.2,33,0,5.1903,667,3.9375
35000,36,1190.6,10,4.13,16,20.3,34,2,5.3579,722,4.2332
30000,36,1059,10,19.29,8,54.1,14,0,4.9243,732,4.6566
23600,60,685.8,2,7.99,8,11.7,14,0,5.301,757,3.0637
3500,36,124.77,4,27.47,13,73.6,32,5,4.9542,687,4.1434
10000,36,326.21,2,1.46,7,12,18,0,4.6233,697,3.2385
10375,36,372.85,3,15.14,18,21,28,0,5.0792,712,3.4553
20000,60,581.18,2,16.29,10,87.6,15,0,4.9294,662,4.6811
5350,36,198.8,2,10.3,10,30.5,23,0,4.5563,682,3.7124
2500,36,97.34,6,6.09,8,31.4,16,0,4.6021,667,3.875
11200,36,343.22,10,19.55,16,30.5,56,7,5.1732,772,4.3858
15000,60,445.3,10,19.85,22,34.2,49,1,5.0374,692,4.3143
5000,36,189.64,10,6.78,9,53.9,11,0,4.7076,667,3.8252
